PATRIC ID	RefSeq Locus Tag	Product
fig|208963.12.peg.1428	PA14_17530	RecA protein
fig|208963.12.peg.1429	PA14_17540	Regulatory protein RecX
fig|208963.12.peg.1430	PA14_17550	Decarboxylase family protein
fig|208963.12.peg.1431	PA14_17570	"Metallo-beta-lactamase family protein, RNA-specific"
fig|208963.12.peg.1432		FIG00957153: hypothetical protein
fig|208963.12.peg.1433	PA14_17580	Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9) @ Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)
fig|208963.12.peg.1434	PA14_17590	hypothetical protein
fig|208963.12.peg.1435	PA14_17600	Putative NADPH-quinone reductase (modulator of drug activity B)
fig|208963.12.peg.1436	PA14_17610	Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1)
fig|208963.12.peg.1437	PA14_17620	Spermidine/putrescine import ABC transporter permease protein PotC (TC 3.A.1.11.1)
fig|208963.12.peg.1438	PA14_17630	Spermidine/putrescine import ABC transporter permease protein PotB (TC 3.A.1.11.1)
fig|208963.12.peg.1439	PA14_17640	Spermidine/putrescine import ABC transporter ATP-binding protein PotA (TC 3.A.1.11.1)
fig|208963.12.peg.1440	PA14_17650	hypothetical protein
fig|208963.12.peg.1441	PA14_17660	Permease of the drug/metabolite transporter (DMT) superfamily
fig|208963.12.peg.1442	PA14_17670	Putative two-component response regulator
fig|208963.12.peg.1443	PA14_17675	Diacylglycerol kinase (EC 2.7.1.107)
fig|208963.12.peg.1444	PA14_17690	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)
fig|208963.12.peg.1445	PA14_17700	"LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-independent"
fig|208963.12.peg.1446	PA14_17710	"LSU ribosomal protein L36p @ LSU ribosomal protein L36p, zinc-independent"
fig|208963.12.peg.1447	PA14_17720	"Transcriptional regulator, LuxR family"
fig|208963.12.peg.1448	PA14_17730	5-aminopentanamidase (EC 3.5.1.30) / Aliphatic amidase AmiE (EC 3.5.1.4)
fig|208963.12.peg.1449	PA14_17740	Putative amino acid permease
fig|208963.12.peg.1450	PA14_17760	Methylphosphotriester-DNA--protein-cysteine S-methyltransferase (EC 2.1.1.n11) / ADA regulatory protein / Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)
fig|208963.12.peg.1451	PA14_17780	"Transporter, MFS superfamily"
fig|208963.12.peg.1452		FIG00957845: hypothetical protein
fig|208963.12.peg.1453	PA14_17790	"Transcriptional regulator, LysR family"
fig|208963.12.peg.1454	PA14_17810	Probable acyl-CoA dehydrogenase fadE35 (EC 1.3.99.-)
fig|208963.12.peg.1455	PA14_17820	L-carnitine dehydratase/bile acid-inducible protein F
fig|208963.12.peg.1456	PA14_17850	Probable enoyl-CoA hydratase paaG (EC 4.2.1.17)
fig|208963.12.peg.1457	PA14_17860	3-hydroxyacyl-CoA dehydrogenase PaaC
fig|208963.12.peg.1458	PA14_17880	Acetyl-CoA acetyltransferase (EC 2.3.1.9) @ 3-oxoadipyl-CoA thiolase (EC 2.3.1.174)
fig|208963.12.peg.1459	PA14_17890	Phenylacetic acid-specific porin; hydroxycinnamate specific porine
fig|208963.12.peg.1460	PA14_17900	Transcriptional activator MetR
fig|208963.12.peg.1461	PA14_17910	Putative hydrolase
fig|208963.12.peg.1462	PA14_17920	Membrane protein glpM
fig|208963.12.peg.1463	PA14_17930	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)
fig|208963.12.peg.1464	PA14_17940	Glycerol-3-phosphate regulon repressor GlpR
fig|208963.12.peg.1465		FIG00960914: hypothetical protein
fig|208963.12.peg.1466	PA14_17960	Glycerol kinase (EC 2.7.1.30)
fig|208963.12.peg.1467	PA14_17980	Glycerol uptake facilitator protein
fig|208963.12.peg.1468	PA14_17990	Cys-tRNA(Pro) deacylase YbaK
fig|208963.12.peg.1469	PA14_18010	Glycerol kinase (EC 2.7.1.30)
fig|208963.12.peg.1470	PA14_18020	Phenazine biosynthesis protein PhzF like
fig|208963.12.peg.1471	PA14_18050	hypothetical protein
fig|208963.12.peg.1472	PA14_18060	Cytochrome b561
fig|208963.12.peg.1473	PA14_18070	hypothetical protein
fig|208963.12.peg.1474	PA14_18080	"Transcriptional regulator, AcrR family"
fig|208963.12.peg.1475	PA14_18090	Probable MFS transporter
fig|208963.12.peg.1476	PA14_18100	hypothetical protein
fig|208963.12.peg.1477	PA14_18110	"Transcriptional regulator, AraC family"
fig|208963.12.peg.1478	PA14_18120	Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)
fig|208963.12.peg.1479	PA14_18140	3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)
fig|208963.12.peg.1480	PA14_18150	Propionate--CoA ligase (EC 6.2.1.17)
fig|208963.12.peg.1481	PA14_18160	Bifunctional protein: zinc-containing alcohol dehydrogenase; quinone oxidoreductase ( NADPH:quinone reductase) (EC 1.1.1.-); Similar to arginate lyase
fig|208963.12.peg.1482	PA14_18180	hypothetical protein
fig|208963.12.peg.1483	PA14_18200	Transcriptional regulator
fig|208963.12.peg.1484		possible ribonuclease inhibitor
fig|208963.12.peg.1485	PA14_18210	Putative deoxyribonuclease YjjV
fig|208963.12.peg.1486	PA14_18230	"Fructose repressor FruR, LacI family"
fig|208963.12.peg.1487	PA14_18250	"Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9) / Fructose-specific phosphocarrier protein HPr (EC 2.7.1.69) / PTS system, fructose-specific IIA component (EC 2.7.1.69)"
fig|208963.12.peg.1488	PA14_18260	1-phosphofructokinase (EC 2.7.1.56)
fig|208963.12.peg.1489	PA14_18275	"PTS system, fructose-specific IIB component (EC 2.7.1.69) / PTS system, fructose-specific IIC component (EC 2.7.1.69)"
fig|208963.12.peg.1490	PA14_18300	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)
fig|208963.12.peg.1491	PA14_18310	Undecaprenyl phosphate-aminoarabinose flippase subunit ArnF
fig|208963.12.peg.1492	PA14_18320	Undecaprenyl phosphate-aminoarabinose flippase subunit ArnE
fig|208963.12.peg.1493	PA14_18330	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) @ Melittin resistance protein PqaB @ Polymyxin resistance protein PmrK
fig|208963.12.peg.1494	PA14_18340	4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)
fig|208963.12.peg.1495	PA14_18350	UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) / UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating) (EC 1.1.1.305)
fig|208963.12.peg.1496	PA14_18360	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53)
fig|208963.12.peg.1497	PA14_18370	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87)
fig|208963.12.peg.1498	PA14_18380	Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)
fig|208963.12.peg.1499	PA14_18410	Alginate o-acetyltransferase AlgF
fig|208963.12.peg.1500	PA14_18430	Alginate biosynthesis protein AlgJ
fig|208963.12.peg.1501	PA14_18450	Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)
fig|208963.12.peg.1502		FIG00959595: hypothetical protein
fig|208963.12.peg.1503	PA14_18470	Alginate lyase precursor (EC 4.2.2.3)
fig|208963.12.peg.1504	PA14_18480	Alginate biosynthesis protein AlgX
fig|208963.12.peg.1505	PA14_18500	Poly (beta-D-mannuronate) C5 epimerase precursor (EC 5.1.3.-)
fig|208963.12.peg.1506	PA14_18510	Outer membrane protein AlgE
fig|208963.12.peg.1507	PA14_18520	Alginate biosynthesis protein AlgK precursor
fig|208963.12.peg.1508	PA14_18550	Alginate biosynthesis protein Alg44
fig|208963.12.peg.1509	PA14_18565	Alginate biosynthesis protein Alg8
fig|208963.12.peg.1510	PA14_18580	GDP-mannose 6-dehydrogenase (EC 1.1.1.132)
fig|208963.12.peg.1511	PA14_18590	UPF0246 protein YaaA
fig|208963.12.peg.1512	PA14_18600	"Ferric iron ABC transporter, ATP-binding protein"
fig|208963.12.peg.1513	PA14_18610	Ornithine carbamoyltransferase (EC 2.1.3.3)
fig|208963.12.peg.1514	PA14_18620	hypothetical protein
fig|208963.12.peg.1515	PA14_18630	Putative serine protease
fig|208963.12.peg.1516	PA14_18640	Putative oxidoreductase
fig|208963.12.peg.1517	PA14_18650	Glutaredoxin-related protein
fig|208963.12.peg.1518	PA14_18660	Membrane protein mosC
fig|208963.12.peg.1519	PA14_18670	Bacterioferritin
fig|208963.12.peg.1520	PA14_18680	Bacterioferritin-associated ferredoxin
fig|208963.12.peg.1521	PA14_18690	Alkyl hydroperoxide reductase subunit C-like protein
fig|208963.12.peg.1522	PA14_18700	Ribonuclease T (EC 3.1.13.-)
fig|208963.12.peg.1523	PA14_18710	Dihydroorotase (EC 3.5.2.3)
fig|208963.12.peg.1524	PA14_18720	Putative outer membrane protein
fig|208963.12.peg.1525	PA14_18740	Argininosuccinate synthase (EC 6.3.4.5)
fig|208963.12.peg.1526	PA14_18750	Lactoylglutathione lyase (EC 4.4.1.5)
fig|208963.12.peg.1527	PA14_18760	Multidrug resistance RND efflux system membrane fusion protein MexE
fig|208963.12.peg.1528	PA14_18780	Multidrug resistance RND efflux system inner membrane transporter MexF
fig|208963.12.peg.1529	PA14_18790	"RND efflux system, outer membrane lipoprotein"
fig|208963.12.peg.1530	PA14_18800	Copper chaperone
fig|208963.12.peg.1531	PA14_18810	hypothetical protein
fig|208963.12.peg.1532	PA14_18820	3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41)
fig|208963.12.peg.1533	PA14_18830	"Formerly called adenylosuccinate lyase (similar to archaeal version), but most likely something else"
fig|208963.12.peg.1534	PA14_18850	"Formerly called adenylosuccinate lyase (similar to archaeal version), but most likely something else"
fig|208963.12.peg.1535	PA14_18860	SAM-dependent methyltransferases
fig|208963.12.peg.1536	PA14_18870	FIG00350425: hypothetical protein
fig|208963.12.peg.1537	PA14_18880	Endonuclease III (EC 4.2.99.18)
fig|208963.12.peg.1538	PA14_18890	Electron transport complex protein RnfE
fig|208963.12.peg.1539	PA14_18900	Electron transport complex protein RnfG
fig|208963.12.peg.1540	PA14_18910	Electron transport complex protein RnfD
fig|208963.12.peg.1541	PA14_18920	Electron transport complex protein RnfC
fig|208963.12.peg.1542	PA14_18930	Electron transport complex protein RnfB
fig|208963.12.peg.1543	PA14_18950	Electron transport complex protein RnfA
fig|208963.12.peg.1544	PA14_18960	hypothetical protein
fig|208963.12.peg.1545	PA14_18970	probable phospholipase
fig|208963.12.peg.1546	PA14_18985	VgrG protein
fig|208963.12.peg.1547		hypothetical protein
fig|208963.12.peg.1548	PA14_19010	hypothetical protein
fig|208963.12.peg.1549	PA14_19020	hypothetical protein
fig|208963.12.peg.1550	PA14_19030	UDP-N-acetylglucosamine enolpyruvyl transferase
fig|208963.12.peg.1551	PA14_19050	Methionyl-tRNA synthetase (EC 6.1.1.10)
fig|208963.12.peg.1552	PA14_19065	[4Fe-4S] cluster assembly scaffold protein Mrp (=ApbC)
fig|208963.12.peg.1553	PA14_19090	Deoxycytidine triphosphate deaminase (EC 3.5.4.13)
fig|208963.12.peg.1554	PA14_19100	"RhlA, 3-(3-hydroxyalkanoyloxy)alkanoic acids (HAAs) synthase"
fig|208963.12.peg.1555	PA14_19110	"RhlB, TDP-rhamnosyltransferase 1 (EC 2.4.1.-)"
fig|208963.12.peg.1556	PA14_19120	Transcriptional regulator RhlR
fig|208963.12.peg.1557	PA14_19130	N-acyl-L-homoserine lactone synthetase RhlL (EC 2.3.1.184)
fig|208963.12.peg.1558	PA14_19140	Prephenate dehydratase (EC 4.2.1.51) @ Arogenate dehydratase (EC 4.2.1.91)
fig|208963.12.peg.1559	PA14_19150	MadN protein
fig|208963.12.peg.1560	PA14_19160	Chloramphenicol-sensitive protein rarD
fig|208963.12.peg.1561	PA14_19170	Cell wall-associated hydrolases (invasion-associated proteins)
fig|208963.12.peg.1562		FIG00957849: hypothetical protein
fig|208963.12.peg.1563	PA14_19190	NAD-dependent malic enzyme (EC 1.1.1.38)
fig|208963.12.peg.1564	PA14_19205	Nudix hydrolase family protein PA3470
fig|208963.12.peg.1565	PA14_19210	Dihydrofolate reductase homolog
fig|208963.12.peg.1566	PA14_19230	Small-conductance mechanosensitive channel
fig|208963.12.peg.1567	PA14_19270	Niacin transporter NiaP
fig|208963.12.peg.1568	PA14_19290	ATP-dependent RNA helicase SrmB
fig|208963.12.peg.1569	PA14_19310	Permeases of the major facilitator superfamily
fig|208963.12.peg.1570	PA14_19320	hypothetical protein
fig|208963.12.peg.1571	PA14_19330	hypothetical protein
fig|208963.12.peg.1572	PA14_19340	Sensor histidine kinase/response regulator
fig|208963.12.peg.1573	PA14_19350	Deblocking aminopeptidase (EC 3.4.11.-) @ Cyanophycinase 2 (EC 3.4.15.6)
fig|208963.12.peg.1574	PA14_19360	Cyanophycin synthase (EC 6.3.2.29)(EC 6.3.2.30)
fig|208963.12.peg.1575	PA14_19370	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
fig|208963.12.peg.1576	PA14_19380	"Transcriptional regulator, MarR family"
fig|208963.12.peg.1577	PA14_19390	Putative transmembrane protein
fig|208963.12.peg.1578	PA14_19400	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61) / FAD-dependent cmnm(5)s(2)U34 oxidoreductase
fig|208963.12.peg.1579	PA14_19410	UDP-galactose-lipid carrier transferase (EC 2.-.-.-)
fig|208963.12.peg.1580	PA14_19430	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
fig|208963.12.peg.1581	PA14_19450	Virulence factor mviM
fig|208963.12.peg.1582	PA14_19470	Malate:quinone oxidoreductase (EC 1.1.5.4)
fig|208963.12.peg.1583	PA14_19480	hypothetical protein
fig|208963.12.peg.1584	PA14_19490	Alkyl hydroperoxide reductase subunit C-like protein
fig|208963.12.peg.1585	PA14_19500	Alkanesulfonates-binding protein
fig|208963.12.peg.1586	PA14_19510	Alkanesulfonates transport system permease protein
fig|208963.12.peg.1587	PA14_19520	Alkanesulfonates ABC transporter ATP-binding protein
fig|208963.12.peg.1588	PA14_19530	FMN reductase (NADPH) (EC 1.5.1.38)
fig|208963.12.peg.1589	PA14_19540	Alkanesulfonates-binding protein
fig|208963.12.peg.1590	PA14_19560	Alkanesulfonate monooxygenase (EC 1.14.14.5)
fig|208963.12.peg.1591	PA14_19570	Alkanesulfonate ABC transporter permease protein SsuC
fig|208963.12.peg.1592	PA14_19580	Alkanesulfonate ABC transporter ATP-binding protein SsuB
fig|208963.12.peg.1593	PA14_19590	Organosulfonate utilization protein SsuF
fig|208963.12.peg.1594	PA14_19600	Type III effector HopPmaJ
fig|208963.12.peg.1595	PA14_19610	COGs COG3492
fig|208963.12.peg.1596	PA14_19620	"D-erythro-7,8-dihydroneopterin triphosphate epimerase"
fig|208963.12.peg.1597	PA14_19630	GTP cyclohydrolase I (EC 3.5.4.16) type 1
fig|208963.12.peg.1598	PA14_19640	FolM Alternative dihydrofolate reductase 1
fig|208963.12.peg.1599	PA14_19650	putative membrane protein
fig|208963.12.peg.1600	PA14_19660	Hypothetical flavoprotein YqcA (clustered with tRNA pseudouridine synthase C)
fig|208963.12.peg.1601	PA14_19670	LysR family regulatory protein CidR
fig|208963.12.peg.1602	PA14_19680	Holin-like protein CidA
fig|208963.12.peg.1603	PA14_19690	CidA-associated membrane protein CidB
fig|208963.12.peg.1604	PA14_19700	Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases
fig|208963.12.peg.1605	PA14_19710	Epoxide hydrolase (EC 3.3.2.9)
fig|208963.12.peg.1606	PA14_19720	hypothetical protein
fig|208963.12.peg.1607	PA14_19730	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
fig|208963.12.peg.1608	PA14_19740	Enoyl-CoA hydratase (EC 4.2.1.17)
fig|208963.12.peg.1609	PA14_19750	hypothetical protein
fig|208963.12.peg.1610	PA14_19770	Glycine/D-amino acid oxidases (deaminating)
fig|208963.12.peg.1611	PA14_19800	AraC-type DNA-binding domain-containing proteins
fig|208963.12.peg.1612	PA14_19810	hypothetical protein
fig|208963.12.peg.1613	PA14_19830	hypothetical protein
fig|208963.12.peg.1614	PA14_19850	"Transcriptional regulator, LuxR family"
fig|208963.12.peg.1615	PA14_19860	Protein sirB1
fig|208963.12.peg.1616	PA14_19870	Leucine dehydrogenase (EC 1.4.1.9)
fig|208963.12.peg.1617	PA14_19900	"Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)"
fig|208963.12.peg.1618	PA14_19910	"Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)"
fig|208963.12.peg.1619	PA14_19920	Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)
fig|208963.12.peg.1620	PA14_19930	hypothetical protein
fig|208963.12.peg.1621	PA14_19940	hypothetical protein
fig|208963.12.peg.1622	PA14_19950	"YebG, DNA damage-inducible gene in SOS regulon, expressed in stationary phase"
fig|208963.12.peg.1623	PA14_19960	"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit"
fig|208963.12.peg.1624	PA14_19970	hypothetical protein
fig|208963.12.peg.1625	PA14_19990	"FIG006045: Sigma factor, ECF subfamily"
fig|208963.12.peg.1626	PA14_20000	Iron siderophore sensor protein
fig|208963.12.peg.1627	PA14_20010	Hemophore HasA outer membrane receptor HasR / Iron siderophore receptor protein
fig|208963.12.peg.1628	PA14_20020	Hemophore HasA
fig|208963.12.peg.1629	PA14_20030	"Type I secretion system ATPase @ ABC exporter for hemopore HasA, ATP-binding component HasD"
fig|208963.12.peg.1630	PA14_20040	"Type I secretion membrane fusion protein, HlyD family @ ABC exporter for hemopore HasA, membrane fusion protein (MFP) family component HasE"
fig|208963.12.peg.1631	PA14_20050	"Type I secretion outer membrane protein, TolC family @ ABC exporter for hemopore HasA, outer membrane component HasF"
fig|208963.12.peg.1632	PA14_20060	hypothetical protein
fig|208963.12.peg.1633	PA14_20070	hypothetical protein
fig|208963.12.peg.1634	PA14_20080	Membrane-fusion protein
fig|208963.12.peg.1635	PA14_20100	"Multidrug ABC transporter, permease protein"
fig|208963.12.peg.1636	PA14_20110	"Multidrug ABC transporter, permease protein"
fig|208963.12.peg.1637	PA14_20120	hypothetical protein
fig|208963.12.peg.1638	PA14_20130	LysR family transcriptional regulator PA3398
fig|208963.12.peg.1639	PA14_20140	Ferredoxin--NADP(+) reductase (EC 1.18.1.2)
fig|208963.12.peg.1640	PA14_20150	"Nitrous oxide reductase maturation protein, outer-membrane lipoprotein NosL"
fig|208963.12.peg.1641	PA14_20170	Nitrous oxide reductase maturation transmembrane protein NosY
fig|208963.12.peg.1642	PA14_20180	Nitrous oxide reductase maturation protein NosF (ATPase)
fig|208963.12.peg.1643	PA14_20190	Nitrous oxide reductase maturation protein NosD
fig|208963.12.peg.1644	PA14_20200	Nitrous-oxide reductase (EC 1.7.99.6) / Pseudoazurin
fig|208963.12.peg.1645	PA14_20230	Nitrous oxide reductase maturation protein NosR
fig|208963.12.peg.1646	PA14_20240	Putative ring-cleaving dioxygenase
fig|208963.12.peg.1647	PA14_20250	hypothetical protein
fig|208963.12.peg.1648	PA14_20260	S-adenosylmethionine-dependent methyltransferase YaeB
fig|208963.12.peg.1649	PA14_20270	Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier-protein] reductase RhlG (EC 1.1.1.100)
fig|208963.12.peg.1650	PA14_20280	putative membrane protein
fig|208963.12.peg.1651	PA14_20290	Alginate biosynthesis transcriptional activator
fig|208963.12.peg.1652	PA14_20300	Phosphonate ABC transporter ATP-binding protein PhnC (TC 3.A.1.9.1)
fig|208963.12.peg.1653	PA14_20320	Phosphonate ABC transporter substrate-binding protein PhnD (TC 3.A.1.9.1)
fig|208963.12.peg.1654	PA14_20330	Phosphonate ABC transporter permease protein PhnE (TC 3.A.1.9.1)
fig|208963.12.peg.1655	PA14_20350	Transcriptional regulator PhnF
fig|208963.12.peg.1656	PA14_20360	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG (EC 2.7.8.37)
fig|208963.12.peg.1657	PA14_20370	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH (EC 2.7.8.37)
fig|208963.12.peg.1658	PA14_20380	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI (EC 2.7.8.37)
fig|208963.12.peg.1659	PA14_20390	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase (EC 4.7.1.1)
fig|208963.12.peg.1660	PA14_20400	Phosphonates utilization ATP-binding protein PhnK
fig|208963.12.peg.1661	PA14_20420	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL (EC 2.7.8.37)
fig|208963.12.peg.1662	PA14_20430	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase (EC 3.6.1.63)
fig|208963.12.peg.1663	PA14_20440	"Ribose 1,5-bisphosphate phosphokinase PhnN (EC 2.7.4.23)"
fig|208963.12.peg.1664	PA14_20450	Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein
fig|208963.12.peg.1665	PA14_20460	hypothetical protein
fig|208963.12.peg.1666	PA14_20470	hypothetical protein
fig|208963.12.peg.1667	PA14_20480	hypothetical protein
fig|208963.12.peg.1668	PA14_20491	Putative acetyltransferase
fig|208963.12.peg.1669	PA14_20510	Rhs-family protein
fig|208963.12.peg.1670	PA14_20520	Rhs-family protein
fig|208963.12.peg.1671	PA14_20550	hypothetical protein
fig|208963.12.peg.1672	PA14_20560	Aliphatic amidase AmiE (EC 3.5.1.4)
fig|208963.12.peg.1673	PA14_20570	ATP-dependent protease ATP-binding subunit-like protein amiB
fig|208963.12.peg.1674	PA14_20580	"Possible regulatory protein similar to urea ABC transporter, substrate binding protein"
fig|208963.12.peg.1675	PA14_20590	Two component response regulator associated with urea and amide use
fig|208963.12.peg.1676	PA14_20600	Putative outer membrane lipoprotein
fig|208963.12.peg.1677	PA14_20610	Photopexin A
fig|208963.12.peg.1678	PA14_20620	probable secretion protein
fig|208963.12.peg.1679	PA14_20630	Permease of the major facilitator superfamily
fig|208963.12.peg.1680	PA14_20640	Permease of the drug/metabolite transporter (DMT) superfamily
fig|208963.12.peg.1681	PA14_20650	D-serine ammonia-lyase (EC 4.3.1.18)
fig|208963.12.peg.1682	PA14_20670	glutamine synthetase family protein
fig|208963.12.peg.1683	PA14_20680	"Transporter, MFS superfamily"
fig|208963.12.peg.1684	PA14_20690	Glycosyltransferase
fig|208963.12.peg.1685	PA14_20700	Flagellar brake protein YcgR
fig|208963.12.peg.1686	PA14_20720	Flagellar biosynthesis protein FlgN
fig|208963.12.peg.1687	PA14_20730	Negative regulator of flagellin synthesis FlgM (anti-sigma28)
fig|208963.12.peg.1688	PA14_20740	Flagellar basal-body P-ring formation protein FlgA
fig|208963.12.peg.1689	PA14_20750	Chemotaxis protein CheV (EC 2.7.3.-)
fig|208963.12.peg.1690	PA14_20760	Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)
fig|208963.12.peg.1691	PA14_20770	Anti-sigma B factor antagonist RsbV
fig|208963.12.peg.1692	PA14_20780	"Serine phosphatase RsbU, regulator of sigma subunit / Serine-protein kinase RsbW (EC 2.7.11.1)"
fig|208963.12.peg.1693	PA14_20800	Hpt domain protein
fig|208963.12.peg.1694	PA14_20810	ATP-dependent DNA helicase RecQ
fig|208963.12.peg.1695	PA14_20820	Sensory box/GGDEF family protein
fig|208963.12.peg.1696	PA14_20840	hypothetical protein
fig|208963.12.peg.1697	PA14_20850	Transcriptional regulator SlyA
fig|208963.12.peg.1698		FIG00964947: hypothetical protein
fig|208963.12.peg.1699	PA14_20860	Tfp pilus assembly protein FimV
fig|208963.12.peg.1700	PA14_20870	"bifunctional outer membrane translocase / extracellular lipase, PlpD"
fig|208963.12.peg.1701	PA14_20880	SelT/selW/selH selenoprotein domain
fig|208963.12.peg.1702	PA14_20890	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20)
fig|208963.12.peg.1703	PA14_20900	Arabinose efflux permease
fig|208963.12.peg.1704	PA14_20920	SAM-dependent methyltransferases
fig|208963.12.peg.1705	PA14_20940	Acyl carrier protein
fig|208963.12.peg.1706	PA14_20950	"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)"
fig|208963.12.peg.1707	PA14_20960	Ketosteroid isomerase-related protein
fig|208963.12.peg.1708	PA14_20970	Putative cytochrome P450 hydroxylase
fig|208963.12.peg.1709	PA14_20980	"Oxidoreductase, short-chain dehydrogenase/reductase family"
fig|208963.12.peg.1710	PA14_21000	Siderophore biosynthesis non-ribosomal peptide synthetase modules
fig|208963.12.peg.1711	PA14_21010	probable FAD-dependent monooxygenase
fig|208963.12.peg.1712	PA14_21020	probable non-ribosomal peptide synthetase
fig|208963.12.peg.1713	PA14_21030	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)
fig|208963.12.peg.1714	PA14_21040	hypothetical protein
fig|208963.12.peg.1715	PA14_21050	Putative short-chain dehydrogenase
fig|208963.12.peg.1716	PA14_21060	Methionine aminopeptidase (EC 3.4.11.18)
fig|208963.12.peg.1717	PA14_21070	hypothetical protein
fig|208963.12.peg.1718	PA14_21080	"Transcriptional regulator, LysR family"
fig|208963.12.peg.1719	PA14_21090	Integral membrane protein
fig|208963.12.peg.1720	PA14_21110	Phospholipase C
fig|208963.12.peg.1721	PA14_21120	hypothetical protein
fig|208963.12.peg.1722	PA14_21130	Putative outer membrane lipoprotein
fig|208963.12.peg.1723	PA14_21140	"ABC transporter, permease protein"
fig|208963.12.peg.1724	PA14_21150	"ABC transporter, permease protein"
fig|208963.12.peg.1725	PA14_21160	"ABC transporter, ATP-binding protein"
fig|208963.12.peg.1726	PA14_21175	"ABC transporter, substrate-binding protein"
fig|208963.12.peg.1727	PA14_21180	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)
fig|208963.12.peg.1728	PA14_21190	hypothetical protein
fig|208963.12.peg.1729	PA14_21210	Integral membrane protein
fig|208963.12.peg.1730	PA14_21220	Universal stress protein family
fig|208963.12.peg.1731	PA14_21230	RNA polymerase associated protein RapA (EC 3.6.1.-)
fig|208963.12.peg.1732	PA14_21240	hypothetical protein
fig|208963.12.peg.1733	PA14_21250	Alkylated DNA repair protein
fig|208963.12.peg.1734		hypothetical protein
fig|208963.12.peg.1735	PA14_21260	hypothetical protein
fig|208963.12.peg.1736	PA14_21280	hypothetical protein
fig|208963.12.peg.1737		FIG00953813: hypothetical protein
fig|208963.12.peg.1738	PA14_21290	Fusaric acid resistance protein fusE
fig|208963.12.peg.1739	PA14_21300	Probable MFS transporter
fig|208963.12.peg.1740	PA14_21310	"enoyl-CoA hydratase, R-specific"
fig|208963.12.peg.1741	PA14_21320	Lysophospholipase (EC 3.1.1.5); Monoglyceride lipase (EC 3.1.1.23)
fig|208963.12.peg.1742	PA14_21340	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
fig|208963.12.peg.1743	PA14_21370	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
fig|208963.12.peg.1744	PA14_21380	hypothetical protein
fig|208963.12.peg.1745	PA14_21400	probable ATP-dependent helicase
